id;gateway;gateway_payment_id;amount;currency;status;payment_method;created_date;deleted;modified_date;order_id;gateway_order_id;failure_reason;purpose
1;custody nauseate;quicker stock;20280.83;label;towards pulverize;beyond unlike grim;2025-07-23T07:21:54;false;2025-07-23T09:24:31;earnest;frightfully always;kindly;PROFESSIONAL_FEES
2;bookcase tough purple;gloom comfortable before;21029.06;likewise despite gah;regal;oh once as;2025-07-23T03:52:33;false;2025-07-23T13:20:37;against;after;what option geez;OTHER
3;although boohoo;bin plus;22795.62;whoever but;unwieldy wherever;kindheartedly essential;2025-07-22T17:08:24;true;2025-07-22T22:10:20;meh;hidden hunger foretell;finally;PROFESSIONAL_FEES
4;vice refer;past across likewise;14447.15;downright concerning linseed;hence joyfully;ack;2025-07-22T17:38:47;true;2025-07-23T10:20:05;capitalize queasy;impeccable;fooey;OTHER
5;sidetrack besides painfully;mathematics psst after;32080.1;juggernaut realistic stunning;fellow;descriptive inasmuch;2025-07-22T16:16:31;false;2025-07-23T13:19:41;bah inscribe culminate;uh-huh shore;drat bitter;OTHER
6;miserably nor warmly;zowie tightly where;6705.82;pish plain;ick gadzooks dicker;yuck;2025-07-23T12:14:31;true;2025-07-23T01:30:02;fortunately regarding fooey;fairly;yum;OTHER
7;courteous whether emotional;lest down;32572.67;sailor within;yowza;emboss;2025-07-22T18:21:28;true;2025-07-22T19:07:42;doing;yum mundane;obedient boo;GOVT_FEES
8;even;past delightfully;11943.25;aboard;object;actually over;2025-07-22T23:43:56;false;2025-07-22T21:32:09;meanwhile saturate made-up;colorfully duh;cannon impeccable;OTHER
9;drug growing;well-to-do modulo;2211.16;insist window handover;boo;traduce given bowed;2025-07-23T00:04:42;false;2025-07-22T15:59:09;ah;swill scramble abaft;of testify;OTHER
10;instead woeful;what which;28847.15;mmm;wherever silently untried;absentmindedly since yeast;2025-07-23T08:27:55;true;2025-07-22T20:10:14;noisily wriggler;summarise approach chow;transplant;OTHER
